NP_200570.1	NP_001314379.1	50.275	364	98	7.20e-109	323
NP_200570.1	XP_016690362.1	53.056	360	98	6.42e-108	320
NP_200570.1	XP_016733400.1	55.215	326	98	1.38e-98	294
NP_200570.1	XP_040941737.1	53.988	326	98	1.99e-96	289
NP_200570.1	NP_001314346.1	92.500	120	36	3.24e-81	246
NP_200570.1	XP_016717721.2	92.500	120	36	1.16e-80	247
NP_200570.1	NP_001314009.1	53.150	254	74	1.05e-79	248
NP_200570.1	XP_016687245.2	89.431	123	37	9.46e-79	246
NP_200570.1	XP_016748992.2	90.164	122	37	1.06e-78	246
NP_200570.1	XP_016680054.1	89.431	123	37	4.20e-78	244
NP_200570.1	NP_001314639.1	89.916	119	36	1.82e-76	238
NP_200570.1	XP_016724164.1	89.076	119	36	3.62e-76	237
NP_200570.1	XP_040931009.1	83.465	127	38	1.37e-75	236
NP_200570.1	NP_001313901.1	88.235	119	36	4.03e-75	235
NP_200570.1	XP_040932660.1	84.252	127	38	4.17e-75	236
NP_200570.1	XP_016691508.2	83.465	127	38	4.70e-75	236
NP_200570.1	NP_001314470.1	82.677	127	38	6.95e-75	234
NP_200570.1	XP_016734785.2	51.825	274	81	7.34e-75	235
NP_200570.1	XP_016749852.1	87.395	119	36	8.22e-75	234
NP_200570.1	XP_016722658.1	61.215	214	64	1.06e-73	233
NP_200570.1	NP_001313658.1	84.874	119	36	4.81e-73	228
NP_200570.1	XP_016687436.1	84.034	119	36	4.25e-72	225
NP_200570.1	XP_040973093.1	81.982	111	33	1.20e-67	214
NP_200570.1	XP_016716894.1	81.982	111	33	3.13e-67	214
NP_200570.1	XP_040952975.1	81.982	111	33	4.82e-67	213
NP_200570.1	XP_016744798.2	81.982	111	33	4.82e-67	213
NP_200570.1	XP_040971190.1	72.727	143	41	1.40e-66	211
NP_200570.1	XP_016681441.2	82.883	111	33	3.15e-66	210
NP_200570.1	XP_016719673.2	81.081	111	33	6.51e-64	204
NP_200570.1	XP_040973011.1	82.727	110	33	3.44e-63	202
NP_200570.1	XP_016721315.1	61.194	134	40	4.87e-53	176
NP_200570.1	XP_016726575.2	65.254	118	35	5.43e-53	179
NP_200570.1	XP_016726790.1	66.102	118	35	6.48e-53	179
NP_200570.1	XP_016708966.1	66.102	118	35	6.77e-53	179
NP_200570.1	XP_040942068.1	65.812	117	35	1.60e-52	179
NP_200570.1	XP_016704525.1	39.437	284	79	1.71e-52	177
NP_200570.1	XP_040964826.1	65.812	117	35	1.90e-52	179
NP_200570.1	XP_040964825.1	65.812	117	35	1.90e-52	179
NP_200570.1	XP_016704629.2	65.812	117	35	1.90e-52	179
NP_200570.1	XP_016737666.1	64.407	118	35	3.81e-52	177
NP_200570.1	XP_016718412.2	65.546	119	36	4.15e-52	176
NP_200570.1	XP_016721289.1	39.437	284	79	4.55e-52	176
NP_200570.1	XP_016683866.2	65.546	119	36	1.12e-51	175
NP_200570.1	XP_016704130.2	60.448	134	40	1.38e-51	174
NP_200570.1	XP_016667750.1	63.559	118	35	1.59e-51	175
NP_200570.1	XP_016711059.1	66.102	118	35	1.90e-51	174
NP_200570.1	XP_016721290.2	60.448	134	40	1.97e-51	174
NP_200570.1	XP_016675537.1	65.812	117	35	2.44e-51	174
NP_200570.1	XP_016704515.1	65.812	117	35	2.74e-51	174
NP_200570.1	XP_040958638.1	65.254	118	35	3.20e-51	173
NP_200570.1	XP_016677671.1	56.329	158	46	3.44e-51	174
NP_200570.1	XP_016698900.1	56.329	158	46	4.11e-51	174
NP_200570.1	XP_016755405.1	66.102	118	35	8.79e-51	172
NP_200570.1	XP_016704131.2	59.701	134	40	1.05e-50	172
NP_200570.1	XP_016745702.1	65.812	117	35	2.13e-50	170
NP_200570.1	XP_016690581.2	62.712	118	35	2.34e-50	172
